1,1,0.4075516
1,2,0.0317584
1,3,0.0518392
1,4,0.056639
1,5,0.0330226
1,6,0.0082778
1,7,0.0216594
1,8,0.0133242
1,9,0.0343476
1,10,0.022499
2,1,0.0317584
2,2,0.9063047
2,3,0.0313639
2,4,0.0268726
2,5,0.0191717
2,6,0.0093438
2,7,0.0249504
2,8,0.0076104
2,9,0.0287487
2,10,0.0133687
3,1,0.0518392
3,2,0.0313639
3,3,0.194909
3,4,0.0440849
3,5,0.0300677
3,6,0.0132274
3,7,0.0352597
3,8,0.0115493
3,9,0.0427563
3,10,0.020573
4,1,0.056639
4,2,0.0268726
4,3,0.0440849
4,4,0.1952847
4,5,0.0277735
4,6,0.0052667
4,7,0.0137581
4,8,0.0078088
4,9,0.0291418
4,10,0.0164038
5,1,0.0330226
5,2,0.0191717
5,3,0.0300677
5,4,0.0277735
5,5,0.3405911
5,6,0.0077706
5,7,0.0206784
5,8,0.0073641
5,9,0.0254266
5,10,0.0128408
6,1,0.0082778
6,2,0.0093438
6,3,0.0132274
6,4,0.0052667
6,5,0.0077706
6,6,0.1598387
6,7,0.0210558
6,8,0.0051869
6,9,0.0172374
6,10,0.0072378
7,1,0.0216594
7,2,0.0249504
7,3,0.0352597
7,4,0.0137581
7,5,0.0206784
7,6,0.0210558
7,7,0.6805671
7,8,0.0137788
7,9,0.0462703
7,10,0.0192609
8,1,0.0133242
8,2,0.0076104
8,3,0.0115493
8,4,0.0078088
8,5,0.0073641
8,6,0.0051869
8,7,0.0137788
8,8,0.9552692
8,9,0.0106553
8,10,0.0076096
9,1,0.0343476
9,2,0.0287487
9,3,0.0427563
9,4,0.0291418
9,5,0.0254266
9,6,0.0172374
9,7,0.0462703
9,8,0.0106553
9,9,0.3168158
9,10,0.0185432
10,1,0.022499
10,2,0.0133687
10,3,0.020573
10,4,0.0164038
10,5,0.0128408
10,6,0.0072378
10,7,0.0192609
10,8,0.0076096
10,9,0.0185432
10,10,0.1107929
