DowJones,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28
T1,0.00738344118135051,0.0127828386717603,0.00520833333333333,-0.0382846846846847,-0.0120978669041075,-0.0560785968296064,-0.0414745014764923,-0.0329666017569762,-0.0233235063626525,0.0109548724656638,-0.156313277408157,-0.0214669666317471,0.044639875320049,-0.0216328837564972,-0.01248,0.00483091787439614,-0.0419555618605146,-0.0116429495472186,0.0246523388116308,-0.0270210163460469,-0.0156504456318711,-0.00931933467028432,-0.0278347662623929,-0.0268832347510406,-0.00861801974065148,0.00653346543372966,0.0511150301513255,0.00427350427350427
T2,0.0146586510746933,0.0604961555200928,-0.0414507772020725,0.0140439754792488,0.00815094931128394,0.00395897986028628,0.0144230214499175,0.0397713439376726,0.0716414488766621,0.0144405166239227,0.0603008614408778,-0.0109689534740869,0.0559462915601023,0.0302669883666928,0.00947828904731047,0.00961538461538462,0.00912506709608153,0.0458115183246074,-0.108266502159161,0.0158730158730159,0.0238489145889604,0.0419147416051441,0.0633932076953278,0.0502508522544542,-0.0434782608695652,0.0129875811382043,0.0549752388168755,0.0468085106382979
T3,0.0616021426832238,0.0284541723666211,0.00540540540540541,0.0231021638879035,0.0101257458262881,0.0118301044356531,0.0189496911860049,0.0163956818037688,0.0362070809712269,0.0266933904249988,0.0252627324171382,0.0147874744176693,0.0903219295589868,0.0124239992083823,0.00625952973276625,0.0261904761904762,-0.0090425531914893,-0.0112640801001251,0.0674507090971981,0,0.0170828536470782,0.1072,0.0307693017717616,0.0406657173916372,0.0181761381386499,0.0224355167834509,-0.0180456335210147,-0.00203577235772357
T4,0.157033639143731,0.0762170790103751,0.021505376344086,0.0293416547479738,0.040077731173279,0.0526381956928956,-0.0372057198352365,-0.0134434664081324,0.0161376344086021,0.0450552375881805,-0.0123398383599449,0.00911040906494455,0.0657164013328396,0.032372967865947,0.0841374910279926,0.0116009280742459,0.0346678512595553,0.143037974683544,-0.0379131561892417,0.0234375,0.0152681054961119,0.0483071841453345,0.067165448814385,0.0321764333740382,0,-0.0188069567788467,0.00408818996368954,0.00203992518101891
T5,-0.00297343729351141,-0.0428871585712521,-0.0368421052631579,-0.0197333333333333,-0.0134857650258062,0.00925594171742513,-0.0579710144927536,0.00272435819472355,-0.0105819209996106,-0.0132671039504129,-0.0187210601947948,-0.0397111913357401,0.00269237450060804,-0.0237839771101573,-0.0201559511549212,-0.0447266055045872,-0.0158676207513417,-0.0675526024363235,-0.0131357359380263,-0.0419908396946565,0.00751424857514256,0.00768018905080743,0.00699406322767427,0.008908717714807,-0.0401801902317927,-0.0223638046449558,0.00610081300813007,-0.0528455284552846
T6,-0.0473192391808602,0,0.0109289617486339,0.00446709810434685,0,-0.00733684397372929,-0.0564061538461539,0.0353301344408165,0.00800848762791337,0.0218569830479306,0,0.0075187969924812,-0.0213945430922479,-0.0155059642468455,-0.0234234234234235,0.0168067549709579,0.00896151818661054,-0.0510688836104513,0.0532423208191126,0.00796817828320818,-0.0268654198280097,0.0267735000977134,-0.00867873273003022,-0.00661194388324553,-0.032562735211636,0.00980295024218409,-0.0282892014894497,0.0257510729613734
T7,0.0217739130434783,0.0268595041322315,-0.00540540540540541,0.035634870859228,0.00781953195319542,0.0314239732967754,0.0108651701514342,-0.00918953115115168,0.0344956371167623,0.0427578947368421,-0.0126916975145426,0.0130567164179103,0.032793414763675,0.0236198064883324,-0.00299815498154983,-0.00354003029993911,0.0426260224119915,-0.0225281602002503,0.0252754374594946,0.00790518833320685,0.00460458214564345,-0.0167491435097069,0.0140083806513708,0.00443730177918737,0.028852508260739,-0.00323774535187316,0.00207568258023312,-0.00418410041841004
T8,0.0637935729847494,0.0611167002012072,-0.00814782608695653,0.00430797181237611,0.0348683598474275,0.0214976710856324,0.0376387096774194,0.034441007595751,0.0487052413928912,0.0141931315741656,0.0149973219068024,-0.0110497563160407,-0.00792732570596048,0.00439468788092643,0.024057367568818,0.050945971563981,0.00851880011058883,-0.0102432778489118,0.0246523388116308,0.0313727458682094,0.0167908553793678,0.0359078590785909,0.0120905903126062,0.0199079646017699,0.070086568079298,0.0129875811382043,0,0.00840336134453782
T9,-0.091456,-0.0287982934344631,0.00273533047526368,-0.0214200550918883,-0.0336935219978783,-0.0456093504259966,-0.0155439770197845,-0.0345745167248852,-0.0488999467968579,-0.0435362503483695,-0.0401461335498275,-0.0484172764760564,-0.0373617829993089,-0.0273492808704076,-0.0705519162713652,-0.0135287729944045,-0.00844684314229413,0.0103492884864167,-0.0360888340530536,-0.0532322630099651,-0.0330321485623003,-0.040175651686443,-0.0443690898889749,-0.030361927503436,-0.0480341600502032,-0.0833342330572981,0.00622742723603144,-0.0458333333333333
T10,-0.00936883629191312,-0.0169615619280049,-0.0109289617486339,-0.00875276587401619,-0.00775886128942237,0.0386010669828097,-0.015789407202496,-0.00795627835608148,0.0205656372879683,-0.00813786500718054,0,0.0313112526379729,0.0360299726297843,-0.00562584825533024,0,-0.00342674912319834,-0.00170203207077691,0.0563380281690141,0.0748799999999999,-0.0281062046985041,-0.0139750029684621,0.0456536552126934,-0.00356982150892446,-0.0156634786094725,-0.0045857754976283,0.041959895173876,0.0123777727926525,-0.0109205240174672
