FF49Industries,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49
T1,0.0149667392206,0.0146942752578,-0.000065111775022,0.0277065675449,0.00804434544794,0.0211370385515,-0.00132762431436,0.0177849128672,0.009164213264,0.000615724634248,0.000140654883041,0.0482800031956,0.0118087789108,0.0049023644512,0.00338829419773,0.00403704330956,0.0145751969184,0.0358641049289,0.0127835200327,0.000809073599671,0.0156489362131,-0.000216223066586,0.00578118306842,-0.000819231705845,-0.00942101317425,-0.0439670371893,0.00332250493368,0.00308824924323,0.0273339994159,0.0153687153716,0.00356015209193,-0.0077030337321,0.0129963021354,0.0190890637807,0.0056240576076,0.0186252172526,0.0138917715168,0.0165886660894,-0.00305920586805,0.0268544322206,0.000881329397575,0.0118970134499,0.00576808426471,0.00969695693916,0.024386703526,-0.000984636854171,0.00242389630329,0.00862229826771,0.0126576844238
T2,-0.0657650828295,-0.0489955905005,-0.0333739614426,-0.0473126226106,-0.0438280275763,-0.0835367260975,-0.0825080370666,-0.0593777384767,-0.0562612315079,-0.0562826619422,0.0263643880635,-0.0414775522916,-0.0238188432677,-0.0432220949182,-0.0575689264913,-0.0476327353317,-0.0580497239836,-0.0559816877066,-0.0445681535659,-0.0590837674757,-0.0488571833006,-0.0592558444027,-0.0476824478823,-0.058355572139,-0.0522381490665,-0.0363445714874,-0.0260643342421,-0.0484052411941,-0.032923610113,-0.0620284579196,-0.00957942566978,-0.0380586216827,-0.0595537920048,-0.0660645130161,-0.0775148805034,-0.045888622375,-0.0734937116562,-0.0641486129062,-0.0421412920901,-0.0638772095233,-0.0649182978766,-0.0568589910099,-0.052130084251,-0.0773450401582,-0.0313596944532,-0.0388106637161,-0.0920660263906,-0.0520383148372,-0.0610869565051
T3,-0.0510010996477,-0.0138641454277,-0.00576558322577,-0.0161585636891,-0.00823639560353,-0.0014537449364,-0.00523181398079,-0.0197659405598,-0.0163105522344,-0.01592496558,-0.023898397413,0.00201417998951,-0.0124574494146,-0.0137525208688,-0.0151451328833,-0.017574753498,-0.0138892614879,-0.0448649841986,-0.022529206582,-0.0196176773594,-0.00672723602581,-0.00519928796136,-0.00685497855174,-0.0220796830895,-0.0518807213649,0.0530415245158,-0.0435930524615,-0.0126972739707,0.0251118361329,-0.0238561078427,-0.00451932844959,-0.0236218723305,-0.0510670784806,-0.0296886590515,-0.00492307905577,-0.0192456076773,-0.0263408129208,-0.0285573865267,-0.0122789364216,-0.0211976632293,-0.0209934370897,-0.0223493318633,-0.0210402494392,0.00127825059044,-0.0119836537884,-0.00845442240142,-0.0339218680864,-0.025956023485,-0.0355502461947
T4,-0.0255485529093,-0.047321017272,-0.0543443758368,-0.0356014261245,-0.0365263764136,-0.0748349190102,-0.0760734463345,-0.0664172276506,-0.0611486179449,-0.0782942819078,-0.0640262562965,-0.0384435351099,-0.0547053784304,-0.0434387008862,-0.0772629697088,-0.0663743757858,-0.0651219266213,-0.0586718447761,-0.0658592203705,-0.0660393884017,-0.0557867825822,-0.0748012390398,-0.0579761931165,-0.0780413753033,-0.045927676777,-0.0747025390555,-0.157648045311,-0.0812091241543,-0.0604492365984,-0.0750619570767,-0.027129208994,-0.0626502853922,-0.0570495589831,-0.0744065995435,-0.0599761147981,-0.215575551314,-0.0886184646686,-0.0522562007515,-0.044626320463,-0.0574489424675,-0.0610759958634,-0.0738730684716,-0.0626069627546,-0.0802811816338,-0.0448300903449,-0.0747067939771,-0.0959513545498,-0.0566543170511,-0.0834971642856
T5,0.0738547719818,0.0443270947894,0.0727557734489,0.0483095542656,0.0392591241311,0.0671982209794,0.133917808986,0.0647762321361,0.0695725959202,0.0443086888236,0.0229561069648,0.057882229263,0.0707569860976,0.0443328805437,0.0545879954792,0.061453000487,0.0695979035429,0.0694615108673,0.0610888238686,0.0443377880037,0.0499685368023,0.0606032679306,0.0584016211574,0.0671896212255,0.0851221857933,0.0752668199054,0.0442566513432,0.0683019459788,0.0920067858317,0.0773102230822,0.0102800977108,0.0401373461921,0.0411503643717,0.0842040621525,0.0899771553324,0.187467810937,0.0958863214326,0.0715049132561,0.0558611502992,0.0450450370355,0.0583753477206,0.0727071366684,0.0568983619745,0.0797994812627,0.0666403724291,0.0764425302607,0.12310646565,0.0748293681012,0.0589914711648
T6,-0.0357723550586,-0.0104225614818,-0.011811860148,-0.0122918420988,-0.0171668677704,-0.0207530799874,-0.0330346423673,-0.00855382587571,-0.0227290809628,-0.0163011957305,0.077145536465,0.000820899059193,-0.017387253664,-0.0215590308725,-0.0161919127446,-0.0223665076731,-0.0115975484693,-0.00903653597357,-0.0235906328669,-0.00671307679521,-0.0174169234259,-0.0217820412886,-0.025184585079,-0.0453767463382,-0.0157706863229,-0.0373835252757,0.128828695757,0.0010363162842,-0.0277658660109,-0.017444190369,-0.0125456487445,-0.0203345961069,-0.0268567872156,-0.0177567645584,-0.021767249621,-0.0316384891014,-0.0336187626746,-0.0294644431361,-0.023160632497,-0.0194877399918,-0.0261574968532,-0.0245127233711,-0.00786088832009,-0.0302520048964,-0.00878415977178,-0.0229653922684,-0.0310276577668,-0.013852610677,-0.0548679916336
T7,0.0334721576413,0.033601514119,0.00719494398181,0.0417860032946,-0.00153944522084,0.0485601922945,0.0252531184759,0.0354524951127,0.0421050017788,0.0243813765292,0.0263788055471,0.0565465666883,0.0524246161983,0.0351689386124,0.0246345504003,0.0238051475267,0.0293221129771,0.0142384189605,0.0207481412672,0.0399088786575,0.0248862885321,0.022880501194,0.0472060525389,0.0536367175295,0.0274029254606,0.00409926773601,-0.00845755413891,0.0350563163706,0.0129133980266,0.0389803696583,0.00308989743711,0.0320061944591,0.022910254232,0.0466696092661,0.0417435924009,0.043531535844,0.0496846275526,0.0250206084902,0.0389792179084,0.0469632104382,0.0322324810427,0.0386193623738,0.0427969314172,0.0520983983127,0.0515736942335,0.0374236767081,0.066888554629,0.0485200046428,0.070004050812
T8,-0.011997820092,-0.00871903265735,-0.000679550653475,0.010733216078,0.0154294843135,-0.00210062921614,0.00398008558627,0.0130368981868,0.000859713677063,-0.0251662401972,0.0457831632727,0.0426693642788,-0.00566272850461,-0.0051103741558,0.00855514777779,-0.0045458218654,-0.000904164328031,0.00769471764964,-0.016616051124,-0.00127635946073,-0.00305222751145,-0.0112092014307,-0.0104172940073,0.0160039723734,-0.0176316843044,-0.0325918495408,-0.0440366062637,-0.0182349255451,-0.0179124372596,-0.0133447827378,-0.00589268736324,-0.00236215824787,-0.0101853561532,-0.0152065971344,0.00641303112771,-0.0624618246819,-0.00342069460599,-0.0111319951311,-0.0160823549097,-0.0017428751428,0.0204764381943,-0.011409354335,0.00550292781382,0.00431718282394,-0.0107238808995,0.0103928140075,0.00448273182865,-0.00661375723754,0.00982853021645
T9,-0.0163590678062,0.000636562702668,0.000363610327808,-0.00128165822183,-0.0162404923686,-0.0173832649437,-0.0290586927754,0.00270337415664,-0.0107742216106,-0.00291494900342,-0.0513033498969,-0.0111455968785,-0.00546032626068,-0.0113945988356,-0.00988220111252,-0.00596608969153,-0.0133098872832,-0.0176897002081,-0.00651138632491,-0.000981759393784,-0.00876137357929,0.00152854515375,-0.0129733802052,-0.0173883863026,0.00743385380256,0.0000646861630722,0.0263151692679,0.00337691082578,-0.0328220018356,0.000100248719995,-0.00362561277678,-0.00352316899663,-0.00592050225824,-0.00869454147065,-0.00148497754365,-0.0223429439493,-0.0174717229054,-0.00351588702544,-0.0124000068575,-0.00714343079821,-0.00941142403671,-0.0070037526881,0.00173009148183,-0.0160587849918,-0.0148879222664,0.00298340608423,-0.0226825610639,-0.0096856401238,0.00619763640377
T10,-0.0218067853404,-0.00418752562413,-0.00826372452489,-0.0113993977492,-0.0208579325674,0.0157141991818,0.0152923745493,-0.00678166306929,-0.000654262148647,-0.00589848304903,-0.00137547945747,0.0163533122744,0.0000768602148635,-0.00554744077523,0.00135073697674,-0.0113544621952,-0.00250580373074,0.000303515327312,-0.00393244801368,0.0085814393182,-0.0102792409093,-0.00700026900265,-0.000529007043394,-0.00866023140156,0.00266006880781,-0.00932690086768,0.0882290204439,0.00635000446671,-0.00638315567666,-0.00303036598256,-0.00681677910244,-0.0029902066601,-0.0230409430224,0.0160791131676,0.00714883439028,-0.0341222701942,-0.000633759455056,0.00463125724834,-0.00972705063938,-0.00700829783418,0.00803102980404,-0.00172934693382,-0.00323179134242,-0.00777467872151,0.00289611946013,0.0157995599714,0.000715253085654,0.000786565580827,-0.0140839411765
